lowest,highest,proj_date,projected_balance,bills
false,false,2025-07-09,-3903.82,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1},{""id"":""79bd6a6a-0acb-4f3d-be32-15a4b5e5043e"",""name"":""Progressive"",""note"":"""",""owner"":""Both"",""amount"":-309.65,""category"":""insurance"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-09"",""repeats_every"":1}]"
false,false,2025-07-13,-5070.53,[]
false,false,2025-07-17,1991.65,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1},{""id"":""2bb4880a-a88e-42a5-972a-7fcdd1786f53"",""name"":""Hanover Security Deposit"",""note"":"""",""owner"":""Both"",""amount"":850,""category"":""house"",""end_date"":null,""frequency"":""one-time"",""start_date"":""2025-07-17"",""repeats_every"":1},{""id"":""7009965c-0526-45d3-abce-114616329363"",""name"":""Monarch"",""note"":"""",""owner"":""Both"",""amount"":-10,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-03-17"",""repeats_every"":1}]"
false,false,2025-07-21,928.79,"[{""id"":""e31a4c58-c69f-4a1b-9db0-32ab1ca4c2bf"",""name"":""Alma"",""note"":"""",""owner"":""Jenny"",""amount"":-120.55,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-06-09"",""repeats_every"":2}]"
false,false,2025-08-19,1194.65,[]
false,false,2025-08-23,-2434.92,[]
false,false,2025-07-25,-2086.82,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1},{""id"":""b50702dc-10fb-4708-9cf8-33935ba5a8a2"",""name"":""Mover's League CC"",""note"":"""",""owner"":""Both"",""amount"":-2000,""category"":""other"",""end_date"":null,""frequency"":""one-time"",""start_date"":""2025-07-25"",""repeats_every"":1},{""id"":""5efad933-3581-4eff-b445-b7d5285374d3"",""name"":""ChatGPT"",""note"":"""",""owner"":""Both"",""amount"":-21.28,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-25"",""repeats_every"":1}]"
false,false,2025-07-29,-2193.57,"[{""id"":""062084bd-50ec-41b2-b868-3b9655c7b628"",""name"":""Lemonade Pet"",""note"":"""",""owner"":""Both"",""amount"":-26.64,""category"":""insurance"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-29"",""repeats_every"":1}]"
false,false,2025-08-02,3295.95,[]
false,false,2025-08-06,-2327.98,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-08-10,-3337.4,[]
false,false,2025-08-14,-4244.91,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1},{""id"":""f6f30ea5-054d-4d1a-88f1-3d026da9ca86"",""name"":""YouTube TV"",""note"":"""",""owner"":""Both"",""amount"":-70,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-14"",""repeats_every"":1}]"
false,false,2025-09-02,-2454.12,"[{""id"":""d78db493-960d-4cc6-84fb-916809b82e65"",""name"":""Clash of Clans"",""note"":""Not a subscription, I just get it every month"",""owner"":""Jenny"",""amount"":-7.57,""category"":""games"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1},{""id"":""4257dbda-f2f6-4920-a3a4-9f2bf64a1768"",""name"":""Garner Rent"",""note"":"""",""owner"":""Both"",""amount"":-5100,""category"":""house"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-07-02"",""repeats_every"":1},{""id"":""2914b654-44af-4122-b2ef-b3b2423c0e1d"",""name"":""Verizon"",""note"":"""",""owner"":""Jenny"",""amount"":-69.68,""category"":""mobile phone"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1},{""id"":""3b69e7a5-795c-415d-b661-c2d7089837ef"",""name"":""Utilities"",""note"":"""",""owner"":""Both"",""amount"":-154.74,""category"":""house"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-06-02"",""repeats_every"":1},{""id"":""e31a4c58-c69f-4a1b-9db0-32ab1ca4c2bf"",""name"":""Alma"",""note"":"""",""owner"":""Jenny"",""amount"":-120.55,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-06-09"",""repeats_every"":2},{""id"":""9faec26d-2932-4215-8546-1f07c6a12f36"",""name"":""Savings Transfer"",""note"":"""",""owner"":""Both"",""amount"":-778.84,""category"":""transfer"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-03-31"",""repeats_every"":1}]"
false,false,2025-06-12,6114.84,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-06-16,5314.84,[]
